hotel_id,nearby_restaurants_name,rating,reviews,distance
98639,The Oceanaire Seafood Room,4,399,.33
98639,Mi Cocina Galleria,4,200,.39
98639,Second Floor Regionally Inspired Kitchen,4,80,.35
98641,Grand Lux Cafe,4,397,.49
98641,The Grill On The Alley,4.5,184,.40
98641,The Oceanaire Seafood Room,4,399,.44
98641,Mi Cocina Galleria,4,200,.43
98644,Saltgrass Steak House,4,282,.56
98644,In-N-Out Burger,4,143,.48
98644,Burger Bueno,4.5,40,.38
98644,Jack in the Box,4,18,.49
98679,Five Sixty,4.5,721,.05
98679,Cindi's New York Delicatessen,4.5,252,.13
98679,Bob's Steak & Chop House,4.5,301,.33
98679,Texas Spice,4.5,499,.27
98710,Rodeo Goat,4.5,518,.65
98710,Original Market Diner,4.5,241,.27
98710,Mama's Daughter's Diner,4.5,201,.63
98710,Ser,4,277,.34
98719,Rodeo Goat,4.5,518,.25
98719,Meddlesome Moth,4.5,518,.39
98719,Original Market Diner,4.5,241,.41
98719,Mama's Daughter's Diner,4.5,201,.42
98726,Texas de Brazil,4.5,257,.22
98726,Nick & Sam's,4.5,530,.40
98726,Katy Trail Ice House,4,189,.24
98726,The Mansion Restaurant at Rosewood Mansion on Turtle Creek,4.5,416,.02
98727,Cosmic Cafe,4,177,.09
98727,Parigi,4.5,122,.16
98727,Bellini's italian Cafe and Pizza,4.5,66,.15
98727,Street's Fine Chicken,4,53,.12
98728,Grand Lux Cafe,4,397,.07
98728,The Grill On The Alley,4.5,184,.05
98728,The Oceanaire Seafood Room,4,399,.01
98728,Mi Cocina Galleria,4,200,.06
98731,Rodeo Goat,4.5,518,.31
98731,Meddlesome Moth,4.5,518,.51
98731,Original Market Diner,4.5,241,.40
98731,Mama's Daughter's Diner,4.5,201,.35
99371,Hillstone Midtown,4.5,361,.07
99371,Fabio Cucina Italiana,4,158,.06
99371,Ground Central Coffee Company,4.5,86,.04
99371,Obao,4,160,.05
100504,Tulio Ristorante,4.5,1011,.07
100504,Purple Cafe and Wine Bar,4.5,1497,.09
100504,Shuckers,4.5,726,.07
100504,The Georgian,4.5,323,.08
100505,Dahlia Bakery,4.5,614,.05
100505,Assaggio Ristorante,4.5,732,.05
100505,Serious Pie,4.5,1581,.08
100505,Lola,4.5,1691,.07
100506,Purple Cafe and Wine Bar,4.5,1497,.06
100506,Shuckers,4.5,726,.06
100506,Capital Grille-Seattle,4.5,478,.07
100506,The Georgian,4.5,323,.07
100507,Le Panier,4.5,1391,.04
100507,Beecher's Handmade Cheese,4.5,1823,.04
100507,Pike Place Chowder,4.5,3239,.04
100507,Bacco Cafe,4.5,751,.02
100509,Shiro's,4.5,390,.09
100509,Macrina Bakery,4.5,393,.04
100509,El Gaucho Seattle,4.5,496,.03
100509,The Grill From Ipanema,4,222,.09
100527,Tulio Ristorante,4.5,1011,.06
100527,MOD Pizza,4.5,367,.09
100527,Shuckers,4.5,726,.09
100527,The Georgian,4.5,323,.07
100537,Taylor Shellfish Oyster Bar,4.5,232,.06
100537,Mecca Cafe,4,255,.06
100537,Ten Mercer,4.5,154,.09
100537,Queen Anne Racha Noodles and Thai,4.5,47,.06
100540,Toulouse Petit Kitchen & Lounge,4.5,1358,.02
100540,Mecca Cafe,4,255,.06
100540,Ten Mercer,4.5,154,.03
100540,Peso's Kitchen & Lounge,4,285,.01
100544,Bacco Cafe,4.5,751,.10
100544,Biscuit Bitch,4.5,790,.07
100544,Moore Coffee Shop,4.5,169,.02
100544,Le Pichet,4.5,512,.06
100554,Tulio Ristorante,4.5,1011,.09
100554,The Georgian,4.5,323,.16
100554,Vovito Expresso Gelato Bar,4,83,.13
100554,Trace Seattle,4,141,.14
100561,Tilikum Place Cafe,4.5,581,.23
100561,Zeek's Pizza,4.5,485,.21
100561,Five Point Cafe,4,687,.22
100561,Golden Singha,4,135,.22
100562,The Cheesecake Factory,4,1210,.08
100562,Loulay Kitchen & Bar,4,397,.02
100562,Palomino,4,406,.07
100562,Elephant & Castle,4,302,.07
100565,Dahlia Bakery,4.5,614,.02
100565,Andaluca,4.5,616,.11
100565,Assaggio Ristorante,4.5,732,.02
100565,Serious Pie,4.5,1581,.03
100567,Six Seven Restaurant & Lounge,4.5,931,.03
100567,Anthony's Pier 66 & Bell Street Diner,4,1167,.22
100567,Macrina Bakery,4.5,393,.22
100567,El Gaucho Seattle,4.5,496,.19
100569,Vito's,4,106,.06
100569,Italian Family Pizza,4.5,26,.08
100569,The Rhododendron Cafe,4,52,.06
100569,Sugar Bakery,4.5,31,.05
100574,Tilikum Place Cafe,4.5,581,.20
100574,Zeek's Pizza,4.5,485,.18
100574,Five Point Cafe,4,687,.18
100574,Golden Singha,4,135,.19
100577,Din Tai Fung,4.5,546,.18
100577,Mamma Melina Ristorante,4.5,205,.16
100577,Joey Kitchen,4.5,121,.18
100577,Piatti,4,124,.20
100581,Portage Bay Cafe,4.5,392,.04
100581,Trinity Market and Deli,4.5,38,.12
100581,Schultzy's Sausage,4,62,.21
100581,Pineapple Cafe,3.5,49,.11
100584,Serious Pie,4.5,202,.25
100584,Serious Biscuit,4.5,75,.25
100584,Flying Fish,4,288,.26
100584,Re:public,4,60,.26
100585,Tulio Ristorante,4.5,1011,.01
100585,Purple Cafe and Wine Bar,4.5,1497,.13
100585,Shuckers,4.5,726,.08
100585,The Georgian,4.5,323,.07
100597,Copperleaf Restaurant at Cedarbrook Lodge,4.5,553,.31
100597,Sharps Roasthouse,4,1032,.15
100597,Mango Thai Cusine & Bar,4,407,.09
100597,Dave's Diner & Brews,4,788,.15
100602,Basil's Kitchen,4,72,.01
100602,Jollibee,4,34,.56
100602,Odin Brewing Company,4.5,26,.40
100602,California Pizza Kitchen,4,51,.48
100603,Copperleaf Restaurant at Cedarbrook Lodge,4.5,553,.75
100603,Sharps Roasthouse,4,1032,.64
100603,Mango Thai Cusine & Bar,4,407,.56
100603,Dave's Diner & Brews,4,788,.45
100617,Spencer's for Steaks and Chops - Hilton Airport Seattle,4,276,.01
100617,Gregory's Bar & Grill at the Red Lion Hotel Seattle Airport,3.5,166,.35
100617,Qdoba,4,54,.35
100617,Vino Volo,4,75,.36
100619,Sharps Roasthouse,4,1032,.22
100619,Mango Thai Cusine & Bar,4,407,.30
100619,Spencer's for Steaks and Chops - Hilton Airport Seattle,4,276,.29
100619,Gregory's Bar & Grill at the Red Lion Hotel Seattle Airport,3.5,166,.05
109367,Original Market Diner,4.5,241,.60
109367,Ser,4,277,.71
109367,The Slow Bone,4.5,171,.68
109367,Sonny Bryan's Smokehouse,4,358,.83
109412,Kenny's Wood Fired Grill,4.5,1102,.19
109412,Ida Claire,4,345,.23
109412,Arthur's Restaurant,4.5,162,.23
109412,Cinco Tacos,4,42,.20
109413,The French Room,4.5,671,.02
109413,Chop House Burger,4.5,284,.04
109413,CBD Provisions,4.5,299,.08
109413,Iron Cactus Mexican Grill and Margarita Bar,4,776,.03
109426,YO Ranch Steakhouse,4.5,944,.10
109426,Ellen's,4.5,720,.10
109426,RJ Mexican Cuisine,4,350,.09
109426,Spaghetti Warehouse,3.5,339,.07
109452,Pappadeaux Seafood Kitchen,4.5,966,.54
109452,Gas Monkey Bar N' Grill,4,977,.33
109452,Humperdinks Brewpub,4,120,.54
109452,Olive Garden,4,86,.34
